date	state	school	type_school	death	suicide	number_victims	lat	lon
1993-02-04	GA	North Clayton	K-12	1	0.0	1	33.6095549	-84.4396495
1993-01-08	PA	Pequea Valley	K-12	1	0.0	1	40.0209343	-76.0663412
1993-10-14	MI	Redford	K-12	1	0.0	1	42.4136473	-83.2532626
1993-02-22	CA	Reseda	K-12	1	0.0	1	34.189449200000006	-118.53008490000002
1993-11-11	IL	Ridgely	K-12	1	0.0	1	39.827873	-89.644594
1993-09-02	TX	Roosevelt	K-12	1	0.0	1	32.7426304	-96.7947233
1993-03-11	MI	Southeastern	K-12	1	0.0	1	42.3747599	-82.979085
1993-11-01	IL	Sullivan	K-12	1	0.0	1	42.0028094	-87.66894599999999
1993-03-25	MO	Sumner	K-12	1	0.0	1	38.6594956	-90.23955670000001
1993-11-04	FL	Terry Parker	K-12	1	0.0	1	30.3421841	-81.5753699
1993-05-24	PA	Upper Perkiomen	K-12	1	0.0	1	40.380933	-75.4899023
1993-02-08	DC	Washington-Dix	K-12	1	0.0	1	38.909312	-76.9939887
1993-12-01	WI	Wauwatosa West	K-12	1	0.0	1	43.068783	-88.05617099999999
1993-09-25	DC	Weatherless	K-12	1	0.0	2	38.88667	-76.945
1993-07-08	UT	Weber State	College	1	0.0	1	41.193555100000005	-111.9441075
1994-03-23	WA	Ballard	K-12	1	0.0	1	47.6766886	-122.3754977
1994-02-14	CA	Carlmont	K-12	1	0.0	1	37.5063263	-122.29080139999999
1994-01-26	SC	Eau Claire	K-12	1	0.0	1	34.048209	-81.0423141
1994-04-19	DC	Eliot	K-12	1	0.0	1	38.89265	-76.97901
1994-03-15	SC	Goose Creek	K-12	1	0.0	1	32.9732358	-80.0167155
1994-09-07	CA	Hollywood	K-12	1	0.0	1	34.0988979	-118.34007720000001
1994-04-21	TN	John Trotwood Moore	K-12	1	0.0	1	36.0956145	-86.8030551
1994-02-07	FL	Lee County	K12	1	1.0	1	26.597478000000002	-81.853328
1994-01-20	CA	Los Altos	K-12	1	0.0	1	34.0077895	-117.97700929999999
1994-07-24	PA	Manchester	K-12	1	0.0	1	40.4567357	-80.0286652
1994-04-12	MT	Margaret Leary	K-12	1	0.0	1	45.9610375	-112.52141
1994-05-02	FL	North Miami	K-12	1	0.0	1	25.9003723	-80.1817136
1994-02-08	MI	Osborn	K-12	1	0.0	1	42.433648	-83.00353179999999
1994-07-25	IA	Ottumwa	K-12	1	0.0	1	41.0150146	-92.40546280000001
1994-11-05	CA	Thomas Jefferson	K-12	1	0.0	1	34.1697286	-118.28674290000001
1994-02-15	CA	Wallenberg	K-12	1	0.0	1	37.7804851	-122.44608249999999
1994-01-27	CA	Washington	K-12	1	0.0	1	37.3424415	-121.94051270000001
1994-01-31	WA	Whitman	K-12	1	0.0	1	47.696821500000006	-122.37765309999999
1994-11-07	OH	Wickliffe	K-12	1	0.0	1	41.6050489	-81.4740062
1995-10-12	SC	blackville-hilda	K-12	1	1.0	1	33.363763	-81.2637162
1995-01-05	DC	Cardozo	K-12	1	0.0	1	38.92185	-77.02834
