Date;City, State ;School Name ;State;School Type ;Category;Attack;Latitude;Longitude
12 13 2017;Monaca, PA ;Penn State Beaver ;PA;College ;Attack on other persons(s) resulting in injury or death;1;40.678197;-80.296383
12 12 2017;Pasadena, TX ;Sam Rayburn High School ;TX;K-12 ;Gun fired unintentionally resulting in injury or death;0;29.677453;-95.182465
12 12 2017;East Stroudsburg, PA ;East Stroudsburg University ;PA;College ;Attack on other persons(s) resulting in injury or death;1;40.997091;-75.172533
12 11 2017;High Point, NC ;High Point Central High School ;NC;K-12 ;Gun fired but no one injured;0;35.957044;-80.021228
12 07 2017;Aztec, NM ;Aztec High School ;NM;K-12 ;Attack on other persons(s) resulting in injury or death;1;36.820791;-107.990737
11 30 2017;Virginia Beach, VA ;Salem High School ;VA;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;36.782718;-76.143682
11 29 2017;Lima, OH ;Bath High School ;OH;K-12 ;Gun fired but no one injured;0;40.77301;-84.052258
11 28 2017;San Jose, CA ;Booksin Elementary School ;CA;K-12 ;Gun fired but no one injured;0;37.288723;-121.906648
11 23 2017;Denver, CO ;Manual High School ;CO;K-12 ;Attack on other persons(s) resulting in injury or death;1;39.755664;-104.96664
11 17 2017;Jackson, TN ;North Side High School ;TN;K-12 ;Gun fired but no one injured;0;35.692257;-88.828026
11 14 2017;Corning, CA ;Rancho Tehama Elementary School ;CA;K-12 ;Attack on other persons(s) resulting in injury or death;1;40.018748;-122.39309
11 14 2017;Minneola, FL ;Lake Minneola High School ;FL;K-12 ;Attempted or completed suicide, with no intent to injure other person;0;28.580885;-81.719783
11 11 2017;Albany, GA ;Albany State University ;GA;College ;Attack on other persons(s) resulting in injury or death;1;31.569032;-84.140424
11 10 2017;Milledgeville, GA ;Lakeview Academy ;GA;K-12 ;Gun fired but no one injured;0;33.090509;-83.264271
11 10 2017;Texarkana, TX ;Texarkana College ;TX;College ;Gun fired unintentionally resulting in injury or death;0;33.44359;-94.07793
11 09 2017;Atlanta, GA ;Benjamin Banneker High School ;GA;K-12 ;Gun fired unintentionally resulting in injury or death;0;33.590725;-84.519325
11 07 2017;Fort Worth, TX ;Texas Christian University ;TX;College ;Gun fired but no one injured;0;32.70953;-97.362795
11 03 2017;Lansing, MI ;Pattengill Middle School ;MI;K-12 ;Gun fired unintentionally resulting in injury or death;0;42.739422;-84.524671
10 31 2017;Salt Lake City, UT ;University of Utah ;UT;College ;Attack on other persons(s) resulting in injury or death;1;40.764937;-111.842102
10 30 2017;Chicago, IL ;Irma C. Ruiz Elementary School ;IL;K-12 ;Gun fired but no one injured;0;41.8479;-87.681223
10 25 2017;Grambling, LA ;Grambling State University ;LA;College ;Attack on other persons(s) resulting in injury or death;1;32.521291;-92.719296
10 19 2017;Petersburg, VA ;Virginia State University ;VA;College ;Attack on other persons(s) resulting in injury or death;1;37.238461;-77.419872
